Ensembl ID	Entrez ID	TF family	Protein have DBD
ENSDARG00000036869	558148	bHLH	ENSDARP00000053538;
ENSDARG00000037555	561606	bHLH	ENSDARP00000054688;
ENSDARG00000037588	559796	bHLH	ENSDARP00000054735;
ENSDARG00000054560	359836	bHLH	ENSDARP00000055705;
ENSDARG00000054562	359836	bHLH	ENSDARP00000055706;
ENSDARG00000038205	30300	bHLH	ENSDARP00000055708;
ENSDARG00000038386	30466	bHLH	ENSDARP00000056004;
ENSDARG00000003732	30080	bHLH	ENSDARP00000056456;ENSDARP00000114096;
ENSDARG00000039602	100498672	bHLH	ENSDARP00000057865;ENSDARP00000129370;
ENSDARG00000054031	\N	bHLH	ENSDARP00000059263;
ENSDARG00000040764	30493	bHLH	ENSDARP00000059731;
ENSDARG00000040946	325288	bHLH	ENSDARP00000060005;
ENSDARG00000041691	563771	bHLH	ENSDARP00000061105;
ENSDARG00000045131	664761	bHLH	ENSDARP00000066371;
ENSDARG00000045353	556396	bHLH	ENSDARP00000066697;
ENSDARG00000052383	664768	bHLH	ENSDARP00000068717;ENSDARP00000111341;
ENSDARG00000052610	324857	bHLH	ENSDARP00000068987;
ENSDARG00000054823	246093	bHLH	ENSDARP00000071555;
ENSDARG00000055798	335134	bHLH	ENSDARP00000072659;
ENSDARG00000056130	30239	bHLH	ENSDARP00000073024;
ENSDARG00000056400	404275	bHLH	ENSDARP00000073348;
ENSDARG00000056438	140613	bHLH	ENSDARP00000073394;
ENSDARG00000009822	100149066	bHLH	ENSDARP00000073721;
ENSDARG00000056732	100149863	bHLH	ENSDARP00000073730;
ENSDARG00000057432	394031	bHLH	ENSDARP00000074553;
ENSDARG00000059474	798052	bHLH	ENSDARP00000077137;ENSDARP00000115267;
ENSDARG00000019930	30766	bHLH	ENSDARP00000077498;
ENSDARG00000067607	793274	bHLH	ENSDARP00000087097;
ENSDARG00000063438	100037309	bHLH	ENSDARP00000087122;
ENSDARG00000067544	30159	bHLH	ENSDARP00000087984;
ENSDARG00000020794	114415	bHLH	ENSDARP00000088468;ENSDARP00000101953;
ENSDARG00000035732	352935	bHLH	ENSDARP00000089031;ENSDARP00000114569;ENSDARP00000095296;ENSDARP00000051822;
ENSDARG00000075546	101883970	bHLH	ENSDARP00000089498;
ENSDARG00000040008	114414	bHLH	ENSDARP00000089629;ENSDARP00000096474;
ENSDARG00000068761	100006128	bHLH	ENSDARP00000090346;
ENSDARG00000069552	58216	bHLH	ENSDARP00000092102;
ENSDARG00000069675	565269	bHLH	ENSDARP00000092351;
ENSDARG00000034956	567762	bHLH	ENSDARP00000094300;
ENSDARG00000070538	58008	bHLH	ENSDARP00000094416;
ENSDARG00000070546	360135	bHLH	ENSDARP00000094435;
ENSDARG00000056729	30301	bHLH	ENSDARP00000094981;
ENSDARG00000070770	792198	bHLH	ENSDARP00000094984;
ENSDARG00000020228	567297	bHLH	ENSDARP00000095307;ENSDARP00000116833;
ENSDARG00000040884	30485	bHLH	ENSDARP00000095521;ENSDARP00000059922;
ENSDARG00000045166	777671	bHLH	ENSDARP00000099059;
ENSDARG00000076857	30289	bHLH	ENSDARP00000099080;
ENSDARG00000074641	100318080	bHLH	ENSDARP00000100148;
ENSDARG00000045695	30686	bHLH	ENSDARP00000100455;
ENSDARG00000007097	550600	bHLH	ENSDARP00000101873;
ENSDARG00000074897	559147	bHLH	ENSDARP00000102196;ENSDARP00000121910;
ENSDARG00000078266	30395	bHLH	ENSDARP00000102619;
ENSDARG00000089096	\N	bHLH	ENSDARP00000105052;
ENSDARG00000055294	30303	bHLH	ENSDARP00000105581;
ENSDARG00000016951	114411	bHLH	ENSDARP00000106489;
ENSDARG00000087166	387259	bHLH	ENSDARP00000107434;
ENSDARG00000091603	100333113	bHLH	ENSDARP00000108420;
ENSDARG00000029544	321364	bHLH	ENSDARP00000108958;ENSDARP00000048758;
ENSDARG00000089107	100535945	bHLH	ENSDARP00000108974;ENSDARP00000110585;
ENSDARG00000007277	58097	bHLH	ENSDARP00000109289;ENSDARP00000098724;
ENSDARG00000088115	\N	bHLH	ENSDARP00000109549;
ENSDARG00000087381	100002924	bHLH	ENSDARP00000109774;
ENSDARG00000073988	556663	bHLH	ENSDARP00000109832;ENSDARP00000098909;
ENSDARG00000021855	493634	bHLH	ENSDARP00000110017;ENSDARP00000028315;ENSDARP00000107928;ENSDARP00000112110;ENSDARP00000076292;
ENSDARG00000058449	64277	bHLH	ENSDARP00000110276;ENSDARP00000126336;
ENSDARG00000086944	101886288	bHLH	ENSDARP00000110569;
ENSDARG00000087219	100535991	bHLH	ENSDARP00000110793;
ENSDARG00000016363	323656	bHLH	ENSDARP00000111735;ENSDARP00000010206;
ENSDARG00000058039	393930	bHLH	ENSDARP00000113648;ENSDARP00000075286;
ENSDARG00000040948	100001484	bHLH	ENSDARP00000114921;ENSDARP00000060010;
ENSDARG00000035695	100034489	bHLH	ENSDARP00000115633;
ENSDARG00000077813	101882333	bHLH	ENSDARP00000116493;
ENSDARG00000092160	101885525	bHLH	ENSDARP00000119209;
ENSDARG00000068168	751634	bHLH	ENSDARP00000120678;
ENSDARG00000003631	352927	bHLH	ENSDARP00000120780;ENSDARP00000093893;ENSDARP00000014344;
ENSDARG00000032039	570082	bHLH	ENSDARP00000121877;ENSDARP00000090420;ENSDARP00000111725;
ENSDARG00000094426	100148329	bHLH	ENSDARP00000122768;
ENSDARG00000055283	266599	bHLH	ENSDARP00000122878;ENSDARP00000072092;
ENSDARG00000003469	266958	bHLH	ENSDARP00000122926;
ENSDARG00000004714	407985	bHLH	ENSDARP00000123095;ENSDARP00000004196;
ENSDARG00000008796	30285	bHLH	ENSDARP00000123627;
ENSDARG00000042041	394239	bHLH	ENSDARP00000124306;ENSDARP00000061615;
ENSDARG00000006791	58098	bHLH	ENSDARP00000124722;ENSDARP00000004223;
ENSDARG00000037891	554119	bHLH	ENSDARP00000126347;ENSDARP00000126554;
ENSDARG00000042857	100000527	bHLH	ENSDARP00000126473;ENSDARP00000126463;
ENSDARG00000011703	30140	bHLH	ENSDARP00000126787;ENSDARP00000014377;
ENSDARG00000096756	100334878	bHLH	ENSDARP00000127222;
ENSDARG00000097947	100148845	bHLH	ENSDARP00000128147;
ENSDARG00000077473	560341	bHLH	ENSDARP00000128719;ENSDARP00000102798;
ENSDARG00000019457	564996	bHLH	ENSDARP00000128996;ENSDARP00000008774;
ENSDARG00000040917	30744	CBF	ENSDARP00000059960;
ENSDARG00000036073	140816	C/EBP	ENSDARP00000052364;ENSDARP00000120597;
ENSDARG00000036074	140815	C/EBP	ENSDARP00000052365;
ENSDARG00000042725	140814	C/EBP	ENSDARP00000062701;
ENSDARG00000090254	100537990	C/EBP	ENSDARP00000098799;
ENSDARG00000087303	140817	C/EBP	ENSDARP00000112432;
ENSDARG00000045240	114453	C/EBP	ENSDARP00000119678;ENSDARP00000066521;
ENSDARG00000007824	\N	CG-1	ENSDARP00000046662;
ENSDARG00000092799	\N	CG-1	ENSDARP00000120870;
ENSDARG00000077428	797322	CG-1	ENSDARP00000126517;ENSDARP00000126402;
ENSDARG00000042525	30692	COE	ENSDARP00000009986;
ENSDARG00000016116	565310	COE	ENSDARP00000028095;ENSDARP00000120694;
ENSDARG00000016300	567751	COE	ENSDARP00000079816;ENSDARP00000115322;
ENSDARG00000069196	557777	COE	ENSDARP00000091281;ENSDARP00000116056;
ENSDARG00000091287	556476	COE	ENSDARP00000104863;ENSDARP00000127718;
ENSDARG00000092635	\N	COE	ENSDARP00000114469;
ENSDARG00000078552	794613	CP2	ENSDARP00000097661;ENSDARP00000116930;
ENSDARG00000018000	100136855	CP2	ENSDARP00000100868;ENSDARP00000126205;
ENSDARG00000029497	431761	CP2	ENSDARP00000101983;ENSDARP00000118325;ENSDARP00000040479;
ENSDARG00000060306	100001906	CP2	ENSDARP00000121618;ENSDARP00000079283;
ENSDARG00000061391	324942	CP2	ENSDARP00000124180;ENSDARP00000081888;ENSDARP00000123737;ENSDARP00000124914;
ENSDARG00000061974	100034503	CP2	ENSDARP00000124302;ENSDARP00000083427;
ENSDARG00000058342	555744	CP2	ENSDARP00000125051;ENSDARP00000083419;
ENSDARG00000004757	795398	CSD	ENSDARP00000010482;
ENSDARG00000004328	799825	CSD	ENSDARP00000015591;
ENSDARG00000041323	436963	CSD	ENSDARP00000060560;
ENSDARG00000062157	336679	CSD	ENSDARP00000083965;
ENSDARG00000016999	394066	CSD	ENSDARP00000089741;ENSDARP00000125674;ENSDARP00000113422;ENSDARP00000116507;
ENSDARG00000068477	557375	CSD	ENSDARP00000089829;
ENSDARG00000074758	337096	CSD	ENSDARP00000099649;ENSDARP00000116278;ENSDARP00000112965;ENSDARP00000116773;
ENSDARG00000052511	797900	CSD	ENSDARP00000102537;
ENSDARG00000053129	393534	CSD	ENSDARP00000125927;ENSDARP00000069585;
ENSDARG00000003398	386772	CSL	ENSDARP00000026585;
ENSDARG00000052091	563306	CSL	ENSDARP00000087012;
ENSDARG00000074148	503870	CSL	ENSDARP00000128811;ENSDARP00000104008;
ENSDARG00000061836	678521	CTF/NFI	ENSDARP00000044669;ENSDARP00000121809;ENSDARP00000084668;
ENSDARG00000062420	556665	CTF/NFI	ENSDARP00000063466;ENSDARP00000123045;ENSDARP00000084675;ENSDARP00000084670;ENSDARP00000113262;
ENSDARG00000043210	100005568	CTF/NFI	ENSDARP00000083101;ENSDARP00000114279;ENSDARP00000118559;
ENSDARG00000043226	\N	CTF/NFI	ENSDARP00000110633;ENSDARP00000112653;
ENSDARG00000007982	393545	CUT	ENSDARP00000026697;
ENSDARG00000057649	378993	CUT	ENSDARP00000056204;
ENSDARG00000078459	797445	CUT	ENSDARP00000075613;ENSDARP00000119597;
ENSDARG00000061885	563435	CUT	ENSDARP00000083309;
ENSDARG00000062621	571757	CUT	ENSDARP00000092405;
ENSDARG00000091059	100332965	CUT	ENSDARP00000110548;
ENSDARG00000086559	561650	CUT	ENSDARP00000111538;
ENSDARG00000086345	565530	CUT	ENSDARP00000118737;ENSDARP00000120983;
ENSDARG00000056395	565854	CUT	ENSDARP00000120476;
ENSDARG00000040253	246225	CUT	ENSDARP00000124289;ENSDARP00000106114;
ENSDARG00000090387	100000073	CUT	ENSDARP00000126061;ENSDARP00000107836;
ENSDARG00000015072	30129	DM	ENSDARP00000002460;
ENSDARG00000035290	450035	DM	ENSDARP00000051145;
ENSDARG00000039412	474350	DM	ENSDARP00000057589;
ENSDARG00000070013	558970	DM	ENSDARP00000093167;
ENSDARG00000007349	402923	DM	ENSDARP00000108943;ENSDARP00000106011;ENSDARP00000107644;ENSDARP00000111713;ENSDARP00000044360;
ENSDARG00000029358	406741	E2F	ENSDARP00000011396;
ENSDARG00000016304	393749	E2F	ENSDARP00000022294;ENSDARP00000127349;ENSDARP00000127332;ENSDARP00000127156;ENSDARP00000127105;
ENSDARG00000038812	402908	E2F	ENSDARP00000056678;ENSDARP00000111176;
ENSDARG00000019293	406813	E2F	ENSDARP00000072266;ENSDARP00000006008;ENSDARP00000105214;ENSDARP00000112589;
ENSDARG00000057323	565952	E2F	ENSDARP00000074403;ENSDARP00000105923;ENSDARP00000118012;ENSDARP00000112554;
ENSDARG00000079233	568846	E2F	ENSDARP00000100111;
ENSDARG00000079349	101885420	E2F	ENSDARP00000101968;
ENSDARG00000070463	791146	E2F	ENSDARP00000109781;ENSDARP00000094213;
ENSDARG00000008986	567941	E2F	ENSDARP00000117568;ENSDARP00000125355;ENSDARP00000020301;
ENSDARG00000008119	560495	E2F	ENSDARP00000121362;ENSDARP00000020835;ENSDARP00000106693;
ENSDARG00000042835	338204	E2F	ENSDARP00000129833;ENSDARP00000104652;ENSDARP00000062867;
ENSDARG00000040151	407693	ESR-like	ENSDARP00000008527;
ENSDARG00000004111	259252	ESR-like	ENSDARP00000024987;ENSDARP00000082277;
ENSDARG00000034181	317733	ESR-like	ENSDARP00000041299;ENSDARP00000118673;ENSDARP00000063411;
ENSDARG00000067976	100005148	ESR-like	ENSDARP00000088795;ENSDARP00000104845;
ENSDARG00000011696	407691	ESR-like	ENSDARP00000091109;
ENSDARG00000069266	405891	ESR-like	ENSDARP00000091431;ENSDARP00000023136;
ENSDARG00000037025	562171	ESR-like	ENSDARP00000104593;ENSDARP00000126507;ENSDARP00000053817;
ENSDARG00000025032	553740	ESR-like	ENSDARP00000104980;ENSDARP00000054263;ENSDARP00000111679;
ENSDARG00000015064	407692	ESR-like	ENSDARP00000106954;
ENSDARG00000035966	569575	ESR-like	ENSDARP00000109370;
ENSDARG00000016454	317734	ESR-like	ENSDARP00000110930;ENSDARP00000017514;ENSDARP00000110761;
ENSDARG00000004861	405890	ESR-like	ENSDARP00000111028;ENSDARP00000005364;
ENSDARG00000055183	563876	ETS	ENSDARP00000005313;
ENSDARG00000018303	30700	ETS	ENSDARP00000016969;
ENSDARG00000079626	387534	ETS	ENSDARP00000019238;ENSDARP00000094160;
ENSDARG00000012435	447882	ETS	ENSDARP00000027699;
ENSDARG00000000767	30117	ETS	ENSDARP00000029369;ENSDARP00000109500;ENSDARP00000087711;
ENSDARG00000019459	445489	ETS	ENSDARP00000036411;
ENSDARG00000053868	555766	ETS	ENSDARP00000045402;
ENSDARG00000029930	100003543	ETS	ENSDARP00000050482;ENSDARP00000107479;
ENSDARG00000052115	568223	ETS	ENSDARP00000068397;
ENSDARG00000054632	30619	ETS	ENSDARP00000071331;
ENSDARG00000062801	565909	ETS	ENSDARP00000085616;ENSDARP00000113571;
ENSDARG00000063417	560416	ETS	ENSDARP00000087088;ENSDARP00000115587;
ENSDARG00000009242	791175	ETS	ENSDARP00000087775;ENSDARP00000107018;
ENSDARG00000069289	58110	ETS	ENSDARP00000091474;ENSDARP00000091473;
ENSDARG00000077092	30093	ETS	ENSDARP00000093624;ENSDARP00000065612;
ENSDARG00000078066	567895	ETS	ENSDARP00000098027;
ENSDARG00000067797	751704	ETS	ENSDARP00000098095;ENSDARP00000088420;
ENSDARG00000076512	\N	ETS	ENSDARP00000101506;ENSDARP00000129537;
ENSDARG00000077304	494073	ETS	ENSDARP00000102806;
ENSDARG00000089434	100009655	ETS	ENSDARP00000105877;
ENSDARG00000044511	30452	ETS	ENSDARP00000107613;ENSDARP00000065360;
ENSDARG00000020759	30396	ETS	ENSDARP00000107670;ENSDARP00000002173;
ENSDARG00000040080	386723	ETS	ENSDARP00000107684;ENSDARP00000122384;ENSDARP00000093564;ENSDARP00000058612;
ENSDARG00000069763	337626	ETS	ENSDARP00000108566;ENSDARP00000092546;
ENSDARG00000087438	\N	ETS	ENSDARP00000108883;
ENSDARG00000086892	558126	ETS	ENSDARP00000122126;ENSDARP00000107087;
ENSDARG00000018688	557074	ETS	ENSDARP00000123783;ENSDARP00000015956;
ENSDARG00000018308	326672	ETS	ENSDARP00000124036;ENSDARP00000004618;
ENSDARG00000077982	560869	ETS	ENSDARP00000124484;ENSDARP00000101728;
ENSDARG00000009550	387258	Fork	head
ENSDARG00000019150	30541	Fork	head
ENSDARG00000011879	266748	Fork	head
ENSDARG00000012788	30559	Fork	head
ENSDARG00000003411	30126	Fork	head
ENSDARG00000003200	394072	Fork	head
ENSDARG00000008010	100004081	Fork	head
ENSDARG00000004864	570997	Fork	head
ENSDARG00000017195	407681	Fork	head
ENSDARG00000011609	798356	Fork	head
ENSDARG00000032705	405850	Fork	head
ENSDARG00000010591	30315	Fork	head
ENSDARG00000015399	566407	Fork	head
ENSDARG00000019659	353313	Fork	head
ENSDARG00000008133	393959	Fork	head
ENSDARG00000023058	494532	Fork	head
ENSDARG00000029179	405849	Fork	head
ENSDARG00000030583	324141	Fork	head
ENSDARG00000030896	100537750	Fork	head
ENSDARG00000035680	554876	Fork	head
ENSDARG00000036385	30539	Fork	head
ENSDARG00000055574	100330010	Fork	head
ENSDARG00000037475	559714	Fork	head
ENSDARG00000037872	334470	Fork	head
ENSDARG00000042180	692279	Fork	head
ENSDARG00000042485	30524	Fork	head
ENSDARG00000042904	30296	Fork	head
ENSDARG00000045105	550127	Fork	head
ENSDARG00000055398	79375	Fork	head
ENSDARG00000055792	563719	Fork	head
ENSDARG00000055926	387257	Fork	head
ENSDARG00000057680	558490	Fork	head
ENSDARG00000059545	767737	Fork	head
ENSDARG00000055750	571165	Fork	head
ENSDARG00000061549	567969	Fork	head
ENSDARG00000062892	570855	Fork	head
ENSDARG00000063540	768121	Fork	head
ENSDARG00000068417	100149117	Fork	head
ENSDARG00000069715	387256	Fork	head
ENSDARG00000070389	100002904	Fork	head
ENSDARG00000043553	555843	Fork	head
ENSDARG00000070769	30274	Fork	head
ENSDARG00000078279	101886699	Fork	head
ENSDARG00000076120	557245	Fork	head
ENSDARG00000070053	100142648	Fork	head
ENSDARG00000079699	100037333	Fork	head
ENSDARG00000075774	797147	Fork	head
ENSDARG00000076660	\N	Fork	head
ENSDARG00000053650	799571	Fork	head
ENSDARG00000091481	100148408	Fork	head
ENSDARG00000088290	494105	Fork	head
ENSDARG00000024619	566899	Fork	head
ENSDARG00000088148	30542	Fork	head
ENSDARG00000021032	30548	Fork	head
ENSDARG00000086055	100003253	Fork	head
ENSDARG00000004843	564127	Fork	head
ENSDARG00000089042	30542	Fork	head
ENSDARG00000014181	569047	Fork	head
ENSDARG00000088879	\N	Fork	head
ENSDARG00000087094	30539	Fork	head
ENSDARG00000061548	100003583	Fork	head
ENSDARG00000055395	405843	Fork	head
ENSDARG00000093129	560783	Fork	head
ENSDARG00000068380	571323	Fork	head
ENSDARG00000058133	30525	Fork	head
ENSDARG00000071394	565796	Fork	head
ENSDARG00000005453	555242	Fork	head
ENSDARG00000012833	692291	Fork	head
ENSDARG00000079266	567676	Fork	head
ENSDARG00000055630	57930	Fork	head
ENSDARG00000045413	449615	GCM	ENSDARP00000066779;ENSDARP00000113822;
ENSDARG00000018030	30506	GCNF-like	ENSDARP00000105986;ENSDARP00000091754;ENSDARP00000017728;
ENSDARG00000014480	497167	GCNF-like	ENSDARP00000109637;ENSDARP00000019758;
ENSDARG00000022203	81597	GTF2I	ENSDARP00000123826;ENSDARP00000068689;
ENSDARG00000040487	554708	GTF2I	ENSDARP00000127980;ENSDARP00000059254;
ENSDARG00000000476	368631	HMG	ENSDARP00000001250;
ENSDARG00000004588	336346	HMG	ENSDARP00000002932;
ENSDARG00000003293	60641	HMG	ENSDARP00000006945;ENSDARP00000106978;
ENSDARG00000041345	30544	HMG	ENSDARP00000007443;
ENSDARG00000006408	550466	HMG	ENSDARP00000007566;ENSDARP00000107780;
ENSDARG00000012699	\N	HMG	ENSDARP00000015994;ENSDARP00000121467;ENSDARP00000119029;
ENSDARG00000010770	30038	HMG	ENSDARP00000019070;ENSDARP00000100683;
ENSDARG00000030297	555983	HMG	ENSDARP00000022977;
ENSDARG00000008540	406246	HMG	ENSDARP00000023480;
ENSDARG00000011582	567413	HMG	ENSDARP00000023698;ENSDARP00000113921;
ENSDARG00000016871	322248	HMG	ENSDARP00000024751;ENSDARP00000112446;
ENSDARG00000008131	562710	HMG	ENSDARP00000026510;
ENSDARG00000004415	30510	HMG	ENSDARP00000030292;ENSDARP00000106073;ENSDARP00000109147;ENSDARP00000127119;ENSDARP00000004631;ENSDARP00000009531;ENSDARP00000110854;
ENSDARG00000028517	554137	HMG	ENSDARP00000039092;
ENSDARG00000032317	569666	HMG	ENSDARP00000044370;
ENSDARG00000003877	\N	HMG	ENSDARP00000045970;
ENSDARG00000029722	641484	HMG	ENSDARP00000047158;ENSDARP00000123575;ENSDARP00000114997;
ENSDARG00000031664	30543	HMG	ENSDARP00000049338;
ENSDARG00000007369	30556	HMG	ENSDARP00000051824;ENSDARP00000123256;
ENSDARG00000035773	\N	HMG	ENSDARP00000051909;
ENSDARG00000037782	386704	HMG	ENSDARP00000055054;
ENSDARG00000002031	559853	HMG	ENSDARP00000056543;
ENSDARG00000035066	368509	HMG	ENSDARP00000056613;ENSDARP00000106402;
ENSDARG00000038780	393978	HMG	ENSDARP00000056633;ENSDARP00000123462;ENSDARP00000121572;ENSDARP00000116387;
ENSDARG00000053990	447936	HMG	ENSDARP00000058363;
ENSDARG00000040266	64812	HMG	ENSDARP00000058909;
ENSDARG00000041341	116990	HMG	ENSDARP00000060596;
ENSDARG00000042045	553572	HMG	ENSDARP00000061616;
ENSDARG00000043235	393875	HMG	ENSDARP00000063475;
ENSDARG00000053569	30529	HMG	ENSDARP00000070099;
ENSDARG00000055502	323246	HMG	ENSDARP00000072328;
ENSDARG00000063145	571106	HMG	ENSDARP00000086442;
ENSDARG00000063420	100003353	HMG	ENSDARP00000087133;
ENSDARG00000068019	100332016	HMG	ENSDARP00000088889;
ENSDARG00000038159	30523	HMG	ENSDARP00000090035;ENSDARP00000118493;
ENSDARG00000069866	436756	HMG	ENSDARP00000092797;
ENSDARG00000070913	378723	HMG	ENSDARP00000095266;
ENSDARG00000070929	557661	HMG	ENSDARP00000095305;
ENSDARG00000031198	326908	HMG	ENSDARP00000095483;ENSDARP00000119454;
ENSDARG00000077823	101886434	HMG	ENSDARP00000099076;
ENSDARG00000077467	140616	HMG	ENSDARP00000100237;
ENSDARG00000073957	555286	HMG	ENSDARP00000101166;
ENSDARG00000079772	321622	HMG	ENSDARP00000102600;
ENSDARG00000077811	30602	HMG	ENSDARP00000105811;
ENSDARG00000030125	394203	HMG	ENSDARP00000108471;ENSDARP00000044223;ENSDARP00000126684;
ENSDARG00000043923	60642	HMG	ENSDARP00000111576;ENSDARP00000127691;ENSDARP00000064499;
ENSDARG00000077038	445141	HMG	ENSDARP00000111664;ENSDARP00000117183;ENSDARP00000114800;
ENSDARG00000056725	561025	HMG	ENSDARP00000111817;ENSDARP00000073718;ENSDARP00000109266;
ENSDARG00000075783	559742	HMG	ENSDARP00000112627;ENSDARP00000101559;
ENSDARG00000094059	564590	HMG	ENSDARP00000112686;
ENSDARG00000015998	436999	HMG	ENSDARP00000113096;ENSDARP00000099718;
ENSDARG00000071150	560266	HMG	ENSDARP00000113238;ENSDARP00000095748;
ENSDARG00000058598	797246	HMG	ENSDARP00000113837;
ENSDARG00000031894	30701	HMG	ENSDARP00000114249;ENSDARP00000047875;
ENSDARG00000037397	386844	HMG	ENSDARP00000114529;
ENSDARG00000025847	562381	HMG	ENSDARP00000115489;ENSDARP00000065971;
ENSDARG00000016994	449949	HMG	ENSDARP00000118787;
ENSDARG00000095743	30603	HMG	ENSDARP00000122216;
ENSDARG00000015536	567154	HMG	ENSDARP00000124730;ENSDARP00000091770;
